"Days","Number of all animals","Number of all plants","Number of free fields","Number of occupied fields","Average energy level","Life expectancy","The most popular genome"
"1","50","100","2452","149","228.0","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"1","50","100","2452","149","228.0","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"3","50","117","2434","168","401.71000000000004","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"3","50","117","2434","168","401.71000000000004","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"4","51","127","2430","172","433.11970588235295","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"4","51","122","2430","172","433.11970588235295","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"4","51","122","2430","172","433.11970588235295","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"4","51","122","2430","172","433.11970588235295","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"5","54","132","2425","179","436.291334422658","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
"5","54","130","2425","179","436.291334422658","0.0","[7, 7, 2, 4, 1, 0, 1, 6, 4, 0, 5, 0, 4, 6, 7, 2, 4, 7, 2, 3, 0, 4, 6, 0, 1, 7, 7, 1, 2, 7, 6, 4, 1, 0, 6, 4, 1, 2, 3, 6, 4, 0, 0, 3, 3, 3, 5, 4, 1, 1, 0, 1, 2, 4, 6, 1, 2, 4, 3, 7, 5, 5, 2, 6, 5, 0, 6, 7, 7, 7, 1, 7, 6, 3, 5, 3, 3, 7, 1, 3]"
